Survey Item,Response,AARC,ESB-MACC,GWC,AACHF
The programs at this center have...increased my understanding or knowledge of cultures served by this center.,Agree,0.85,0.88,0.86,
The programs at this center have...increased my understanding or knowledge of cultures served by this center.,Neutral,0.09,0.06,0.1,
The programs at this center have...increased my understanding or knowledge of cultures served by this center.,Disagree,0.06,0.06,0.05,
The programs at this center have...had a positive impact on my life.,Agree,0.83,0.87,0.87,
The programs at this center have...had a positive impact on my life.,Neutral,0.12,0.08,0.09,
The programs at this center have...had a positive impact on my life.,Disagree,0.06,0.05,0.04,
The programs at this center have…been planned by staff with my input.,Agree,0.36,0.29,0.31,
The programs at this center have…been planned by staff with my input.,Neutral,0.4,0.36,0.33,
The programs at this center have…been planned by staff with my input.,Disagree,0.25,0.35,0.36,
The programs at this center have…reflected the center's mission.,Agree,0.89,0.9,0.88,
The programs at this center have…reflected the center's mission.,Neutral,0.08,0.04,0.05,
The programs at this center have…reflected the center's mission.,Disagree,0.03,0.05,0.06,
I think the fees at this center are affordable…for renting rooms or spaces.,Agree,0.56,0.56,0.58,
I think the fees at this center are affordable…for renting rooms or spaces.,Neutral,0.31,0.33,0.29,
I think the fees at this center are affordable…for renting rooms or spaces.,Disagree,0.13,0.11,0.13,
"I think the fees at this center are affordable…for attending performances (e.g. theater, dance, music, or exhibits).",Agree,0.77,0.85,0.77,
"I think the fees at this center are affordable…for attending performances (e.g. theater, dance, music, or exhibits).",Neutral,0.19,0.12,0.18,
"I think the fees at this center are affordable…for attending performances (e.g. theater, dance, music, or exhibits).",Disagree,0.04,0.04,0.04,
I think fees at this center are affordable…for attending programs and classes (e.g. camps).,Agree,0.72,0.75,0.68,
I think fees at this center are affordable…for attending programs and classes (e.g. camps).,Neutral,0.24,0.2,0.26,
I think fees at this center are affordable…for attending programs and classes (e.g. camps).,Disagree,0.05,0.05,0.06,
"Staff at this center are…welcoming (this could include whether staff greeted you, answered questions, etc.)",Agree,0.87,0.88,0.9,0.82
"Staff at this center are…welcoming (this could include whether staff greeted you, answered questions, etc.)",Neutral,0.09,0.07,0.07,0.09
"Staff at this center are…welcoming (this could include whether staff greeted you, answered questions, etc.)",Disagree,0.05,0.05,0.03,0.09
Staff at this center are…respectful of the cultures served by this center.,Agree,0.88,0.93,0.93,0.88
Staff at this center are…respectful of the cultures served by this center.,Neutral,0.1,0.04,0.05,0.05
Staff at this center are…respectful of the cultures served by this center.,Disagree,0.02,0.03,0.02,0.07
"Staff at this center are…knowledgeable about programs, events, and the facility.",Agree,0.86,0.87,0.88,0.86
"Staff at this center are…knowledgeable about programs, events, and the facility.",Neutral,0.09,0.08,0.08,0.09
"Staff at this center are…knowledgeable about programs, events, and the facility.",Disagree,0.04,0.05,0.04,0.05
This center's…parking options for attending programs and events are adequate.,Agree,0.53,0.52,0.81,0.59
This center's…parking options for attending programs and events are adequate.,Neutral,0.1,0.14,0.08,0.12
This center's…parking options for attending programs and events are adequate.,Disagree,0.37,0.34,0.12,0.29
This center's…transportation options for attending programs and events are adequate.,Agree,0.37,0.44,0.6,0.62
This center's…transportation options for attending programs and events are adequate.,Neutral,0.35,0.3,0.32,0.23
This center's…transportation options for attending programs and events are adequate.,Disagree,0.28,0.25,0.09,0.15
This center's…operating hours meet my/my organization's needs.,Agree,0.74,0.76,0.8,0.63
This center's…operating hours meet my/my organization's needs.,Neutral,0.18,0.17,0.13,0.21
This center's…operating hours meet my/my organization's needs.,Disagree,0.07,0.06,0.07,0.16
This center's…rooms and spaces are clean.,Agree,0.92,0.92,0.93,0.9
This center's…rooms and spaces are clean.,Neutral,0.03,0.05,0.03,0.03
This center's…rooms and spaces are clean.,Disagree,0.04,0.03,0.04,0.07
This center's rooms and spaces are well maintained.,Agree,0.94,0.91,0.91,0.85
This center's rooms and spaces are well maintained.,Neutral,0.05,0.07,0.04,0.07
This center's rooms and spaces are well maintained.,Disagree,0.01,0.03,0.05,0.08
This center's room and spaces meet my/my organization's needs.,Agree,0.76,0.82,0.61,0.7
This center's room and spaces meet my/my organization's needs.,Neutral,0.15,0.13,0.35,0.13
This center's room and spaces meet my/my organization's needs.,Disagree,0.09,0.06,0.03,0.17
Among all respondents - I did not know this center existed.,Agree,0.15,0.07,0.11,0.22
Among all respondents - The rental fees are too high here.,Agree,0.02,0.02,0.01,0.01
Among all respondents - The location is not convenient.,Agree,0.06,0.06,0.03,0.03
Among all respondents - Operating hours do not work for me.,Agree,0.01,0.02,0.01,0.01
Among all respondents - Spaces or rooms are unavailable to rent.,Agree,0.01,0.01,0.01,0.01
Among all respondents - Spaces or rooms are not large enough to rent.,Agree,0.02,0.02,0.01,0.01
Among all respondents - The type of room/space or equipment I need is unavailable.,Agree,0.01,0.01,0.01,0.01
